sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9612539789606509
6.9,3.1,5.1,2.3,virginica,0.9649367393160133
5.1,2.5,3.0,1.1,versicolor,0.9473264664238689
4.4,2.9,,0.2,setosa,0.6336441710964359
5.9,3.0,5.1,1.8,virginica,0.7726596434023536
5.5,3.5,1.3,0.2,setosa,0.9584838454275644
5.6,,3.6,1.3,versicolor,0.93645315866994
6.5,3.0,5.2,2.0,virginica,0.9473402584634631
5.3,3.7,1.5,0.2,setosa,0.9633883460581478
5.1,3.4,1.5,,setosa,0.8115751798970053
6.1,2.8,4.0,1.3,versicolor,0.9762843905864198
5.5,2.4,3.7,1.0,versicolor,0.9765948450072439
7.7,3.0,6.1,2.3,virginica,0.9596699095789085
6.9,3.1,4.9,1.5,versicolor,0.7265134974250338
6.0,2.2,5.0,1.5,versicolor,0.5686352022913255
